text|
Good morning, Nisha!|
Hello Nisha, how are you?|
Hi Nisha, nice to see you.|
Good evening, Nisha.|
What's up, Nisha?|
Hey Nisha, long time no see.|
Morning, Nisha!|
Good night, Nisha.|
Hi there, Nisha.|
How’s it going, Nisha?|
Hey Nisha, are you free right now?|
Nisha, do you want to grab some food?|
I was just talking to Nisha yesterday.|
By the way, Nisha, did you see that?|
So Nisha, what do you think about this?|
Nisha, are you coming with us?|
Do you remember that, Nisha?|
Nisha, I missed you!|
Can we talk later, Nisha?|
Hey Nisha, guess what happened today?|
Nisha, can you tell me the time?|
What do you think, Nisha?|
Are you okay, Nisha?|
Nisha, do you know the answer?|
Can you hear me, Nisha?|
Where are you, Nisha?|
Nisha, have you finished it yet?|
Is everything fine, Nisha?|
Nisha, could you help me?|
Why are you laughing, Nisha?|
Nisha, play my favorite song.|
Please open the window, Nisha.|
Nisha, remind me about the meeting tomorrow.|
Call mom for me, Nisha.|
Nisha, switch off the lights.|
Send that message, Nisha.|
Nisha, search the internet for this.|
Book a cab, Nisha.|
Nisha, take a note for me.|
Set an alarm, Nisha.|
I think Nisha is really good at this.|
Yesterday, I met Nisha at the park.|
Nisha was the one who told me about it.|
Everyone likes Nisha in the office.|
I believe Nisha can handle it.|
The teacher asked Nisha to answer.|
We should thank Nisha for the help.|
Nisha is always on time.|
They said Nisha did a great job.|
I know Nisha very well.|
Oh my God, Nisha!|
I can’t believe it, Nisha!|
Nisha, I’m so proud of you.|
Don’t do that, Nisha!|
Hurry up, Nisha!|
I’m really angry with you, Nisha.|
Wow, that’s amazing, Nisha!|
Calm down, Nisha.|
I love you, Nisha.|
Please don’t cry, Nisha.|
Hey Nisha, can you help me with this?|
I need your advice, Nisha.|
Let’s go out, Nisha.|
It’s all up to you, Nisha.|
I trust you, Nisha.|
Thanks for being here, Nisha.|
Are you listening, Nisha?|
Take care, Nisha.|
Don’t forget about it, Nisha.|
You’re the best, Nisha.|
Hey Nisha, can you hear me?|
Hey Nisha, please respond.|
