text|en-US-AdamMultilingualNeural|en-US-AlloyTurboMultilingualNeural|en-US-AmberNeural|en-US-AnaNeural|en-US-AndrewMultilingualNeural|en-US-AndrewNeural|en-US-AvaMultilingualNeural|en-US-BrandonMultilingualNeural|en-US-BrianMultilingualNeural|en-US-ChristopherMultilingualNeural|en-US-CoraMultilingualNeural|en-US-DavisMultilingualNeural
Good morning, Nisha!|001_Good_morning_Nisha.mp3|001_Good_morning_Nisha.mp3|001_Good_morning_Nisha.mp3|001_Good_morning_Nisha.mp3|001_Good_morning_Nisha.mp3|001_Good_morning_Nisha.mp3|001_Good_morning_Nisha.mp3|001_Good_morning_Nisha.mp3|001_Good_morning_Nisha.mp3|001_Good_morning_Nisha.mp3|001_Good_morning_Nisha.mp3|001_Good_morning_Nisha.mp3
Hello Nisha, how are you?|002_Hello_Nisha_how_are_you.mp3|002_Hello_Nisha_how_are_you.mp3|002_Hello_Nisha_how_are_you.mp3|002_Hello_Nisha_how_are_you.mp3|002_Hello_Nisha_how_are_you.mp3|002_Hello_Nisha_how_are_you.mp3|002_Hello_Nisha_how_are_you.mp3|002_Hello_Nisha_how_are_you.mp3|002_Hello_Nisha_how_are_you.mp3|002_Hello_Nisha_how_are_you.mp3|002_Hello_Nisha_how_are_you.mp3|002_Hello_Nisha_how_are_you.mp3
Hi Nisha, nice to see you.|003_Hi_Nisha_nice_to_see_you.mp3|003_Hi_Nisha_nice_to_see_you.mp3|003_Hi_Nisha_nice_to_see_you.mp3|003_Hi_Nisha_nice_to_see_you.mp3|003_Hi_Nisha_nice_to_see_you.mp3|003_Hi_Nisha_nice_to_see_you.mp3|003_Hi_Nisha_nice_to_see_you.mp3|003_Hi_Nisha_nice_to_see_you.mp3|003_Hi_Nisha_nice_to_see_you.mp3|003_Hi_Nisha_nice_to_see_you.mp3|003_Hi_Nisha_nice_to_see_you.mp3|003_Hi_Nisha_nice_to_see_you.mp3
Good evening, Nisha.|004_Good_evening_Nisha.mp3|004_Good_evening_Nisha.mp3|004_Good_evening_Nisha.mp3|004_Good_evening_Nisha.mp3|004_Good_evening_Nisha.mp3|004_Good_evening_Nisha.mp3|004_Good_evening_Nisha.mp3|004_Good_evening_Nisha.mp3|004_Good_evening_Nisha.mp3|004_Good_evening_Nisha.mp3|004_Good_evening_Nisha.mp3|004_Good_evening_Nisha.mp3
What's up, Nisha?|005_Whats_up_Nisha.mp3|005_Whats_up_Nisha.mp3|005_Whats_up_Nisha.mp3|005_Whats_up_Nisha.mp3|005_Whats_up_Nisha.mp3|005_Whats_up_Nisha.mp3|005_Whats_up_Nisha.mp3|005_Whats_up_Nisha.mp3|005_Whats_up_Nisha.mp3|005_Whats_up_Nisha.mp3|005_Whats_up_Nisha.mp3|005_Whats_up_Nisha.mp3
Hey Nisha, long time no see.|006_Hey_Nisha_long_time_no_see.mp3|006_Hey_Nisha_long_time_no_see.mp3|006_Hey_Nisha_long_time_no_see.mp3|006_Hey_Nisha_long_time_no_see.mp3|006_Hey_Nisha_long_time_no_see.mp3|006_Hey_Nisha_long_time_no_see.mp3|006_Hey_Nisha_long_time_no_see.mp3|006_Hey_Nisha_long_time_no_see.mp3|006_Hey_Nisha_long_time_no_see.mp3|006_Hey_Nisha_long_time_no_see.mp3|006_Hey_Nisha_long_time_no_see.mp3|006_Hey_Nisha_long_time_no_see.mp3
Morning, Nisha!|007_Morning_Nisha.mp3|007_Morning_Nisha.mp3|007_Morning_Nisha.mp3|007_Morning_Nisha.mp3|007_Morning_Nisha.mp3|007_Morning_Nisha.mp3|007_Morning_Nisha.mp3|007_Morning_Nisha.mp3|007_Morning_Nisha.mp3|007_Morning_Nisha.mp3|007_Morning_Nisha.mp3|007_Morning_Nisha.mp3
Good night, Nisha.|008_Good_night_Nisha.mp3|008_Good_night_Nisha.mp3|008_Good_night_Nisha.mp3|008_Good_night_Nisha.mp3|008_Good_night_Nisha.mp3|008_Good_night_Nisha.mp3|008_Good_night_Nisha.mp3|008_Good_night_Nisha.mp3|008_Good_night_Nisha.mp3|008_Good_night_Nisha.mp3|008_Good_night_Nisha.mp3|008_Good_night_Nisha.mp3
Hi there, Nisha.|009_Hi_there_Nisha.mp3|009_Hi_there_Nisha.mp3|009_Hi_there_Nisha.mp3|009_Hi_there_Nisha.mp3|009_Hi_there_Nisha.mp3|009_Hi_there_Nisha.mp3|009_Hi_there_Nisha.mp3|009_Hi_there_Nisha.mp3|009_Hi_there_Nisha.mp3|009_Hi_there_Nisha.mp3|009_Hi_there_Nisha.mp3|009_Hi_there_Nisha.mp3
How’s it going, Nisha?|010_Hows_it_going_Nisha.mp3|010_Hows_it_going_Nisha.mp3|010_Hows_it_going_Nisha.mp3|010_Hows_it_going_Nisha.mp3|010_Hows_it_going_Nisha.mp3|010_Hows_it_going_Nisha.mp3|010_Hows_it_going_Nisha.mp3|010_Hows_it_going_Nisha.mp3|010_Hows_it_going_Nisha.mp3|010_Hows_it_going_Nisha.mp3|010_Hows_it_going_Nisha.mp3|010_Hows_it_going_Nisha.mp3
